id,name,slug,elo,model_creator_id,model_creator_name
f5a3ab85-032b-41b1-8c78-c4b0eef2a9e8,Zonos-v0.1,zonos-v0-1,1000,1124c0e1-03d7-498e-b8ca-212e86387c06,Zyphra
04719149-11ed-42b1-bc2c-166860c03c23,Magpie Multilingual,magpie-mutlilingual,992,0c303112-430d-4367-a484-51defaa2e166,NVIDIA
86d3b629-8222-4ab6-ba77-6d2841fbf212,Murf Speech Gen 2,murf-speech-gen-2,987,b4f8bea1-3777-4cfb-a062-0487d3ea1de6,Murf AI
a8b4b1db-2a38-4649-9b57-a12fb0a85253,LMNT,lmnt,982,6129a13c-7a80-4e52-9f6a-3f1269cc1594,LMNT
bd053b0f-5f69-4313-a7e5-5acd71422d4a,VibeVoice 1.5B,vibe-voice-1-5b,980,ef5ce458-9986-4652-915a-e31fac5506b0,Microsoft Azure
f05bc243-0723-4f05-aa19-31341d8f2677,Qwen3 TTS Flash,qwen3-tts-flash,974,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba
80791fbe-7454-4719-9063-bedfcde606c7,OpenVoice v2,openvoice-v2,973,4a331525-1ba3-4722-b939-f3191c168ece,OpenVoice
7395ed9e-1d19-4ab8-a989-eca165beefa4,VibeVoice 7B,vibe-voice-7b,970,ef5ce458-9986-4652-915a-e31fac5506b0,Microsoft Azure
8dff2d14-4a5c-43ea-ac6b-c14f99fec393,Step TTS Mini,step-tts-mini,959,ce2e2e8b-7a22-4020-98ec-8ef71000dd42,StepFun
55912533-f2de-48e4-8318-990c435f1401,Neuphonic TTS,neuphonic,950,184db8d5-b310-4f56-b5fc-d600f42146f3,Neuphonic
5ab04a8d-c698-4726-bebd-af5fc553b752,Falcon (Beta),falcon-beta,943,b4f8bea1-3777-4cfb-a062-0487d3ea1de6,Murf AI
eb3b0d75-134b-4e6a-82c5-4db2398d5c07,Polly Neural,polly-neural,942,bb5a4e55-7969-4ab4-8702-3b9fd6547dc2,Amazon
f2f2989e-69d1-4b1c-a419-ee316e6c1c3d,XTTS v2,xtts-v2,910,40cc2505-fa7e-428a-aeca-2c53b5589f07,Coqui
16ad3e89-cc78-4478-a5a0-a048b5c72cfb,WaveNet,wavenet,903,faddc6d9-2c14-445f-9b28-56726f59c793,Google
3b322e37-a016-4b2e-aacb-1aef8df00829,StyleTTS 2,styletts-2,901,26d4eeda-75bd-48e2-ac45-543879b9a9de,StyleTTS 
7efc9790-17f6-44a5-8b4f-897deaeb0088,Standard,standard,874,faddc6d9-2c14-445f-9b28-56726f59c793,Google
666ff702-a2c8-413a-a8df-61902a6e7cb9,Neural2,neural2,871,faddc6d9-2c14-445f-9b28-56726f59c793,Google
d3f9b298-8e1a-4328-a2bd-ce3ceea6db1f,Polly Standard,polly-standard,843,bb5a4e55-7969-4ab4-8702-3b9fd6547dc2,Amazon
fb51ab93-d79a-49c5-a2f5-19f03e311afd,MetaVoice v1,metavoice-v1,825,f3b30c3c-550d-4a90-870a-9a2f506c333e,MetaVoice
