id,name,slug,release_date,model_creator_id,model_creator_name,elo,category_style_anime_elo,category_style_cartoon_illustration_elo,category_style_general_photorealistic_elo,category_style_graphic_design_digital_rendering_elo,category_style_traditional_art_elo,category_subject_commercial_elo
2d625c08-831c-42d3-b910-e5e68b6c44d4,Kolors 2.1,kolors-2-1,2025-07,62cc833b-f55a-4489-bcae-54806d4b04ff,KlingAI,1123,1095.0,1181.0,1146,1101,1109.0,1120.0
b7c09073-9046-4043-884b-ac541fedbbac,FLUX.1 Kontext [max],flux-1-kontext-max,2025-05,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1120,1064.0,1084.0,1138,1100,1228.0,1119.0
d48735c9-9f0f-45b6-ad45-cc03eec252c8,Z-Image Turbo,alibaba_z-image-turbo,2025-12,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1118,1082.0,1073.0,1174,1058,1214.0,1088.0
b88087be-28be-4cef-9981-2d4470b3c42a,HunyuanImage 3.0 (Fal),tencent_hunyuanimage-3-0-fal,2025-09,a4e5bd55-a6cd-4dcf-8d4a-1d9643cd3826,Tencent,1117,1127.0,1124.0,1145,1040,1253.0,1095.0
8d8aa93e-0d6c-4973-9946-e00e52eeb01d,Lucid Origin Ultra,lucid-origin-ultra,2025-08,c104be52-31ea-4948-b921-265dc297f3ac,Leonardo.Ai,1114,1099.0,1070.0,1152,1077,1195.0,1044.0
ba07faac-d296-472d-8249-9a0b6f78184a,HunyuanImage 3.0 Instruct (Fal),tencent_hunyuanimage-3-0-instruct--fal,2026-01,a4e5bd55-a6cd-4dcf-8d4a-1d9643cd3826,Tencent,1114,1087.0,1111.0,1115,1115,1193.0,1106.0
29714890-0638-4648-a1df-3fdc2a4b42fa,Vidu Q2,vidu_vidu_q2,2025-11,e3a5ba75-0127-45b0-8bcc-2864b8dd404d,Vidu,1112,1143.0,1179.0,1129,1060,1198.0,1059.0
edba6b24-40ec-47ee-9afd-ddad6135da46,Eigen Image,eigenai_eigen-image,2026-01,db6e00a6-8552-4235-b26f-f89dc2bcba4f,Eigen AI,1111,1100.0,1085.0,1141,1078,1194.0,1146.0
7c4f717b-a48f-4ebe-85b5-9cab75ac2ac6,Vivago 2.0,vivago-2-0,2025-06,040f2c41-5df4-4708-8c77-6a2030be2539,HiDream,1108,1090.0,1158.0,1109,1081,1175.0,1111.0
2ec24cf9-bef1-44f2-ae97-32f49f7905e2,Lucid Origin Fast,lucid-origin-fast,2025-08,c104be52-31ea-4948-b921-265dc297f3ac,Leonardo.Ai,1105,1101.0,1085.0,1134,1058,1183.0,1098.0
4015fb1d-f6a6-451c-85e1-e8e0b556b683,Reve Image (Halfmoon),reve-image-halfmoon,2025-03,cc6e981e-eb3c-4ac3-a23e-4dbe3e1ffd99,Reve,1099,1086.0,1108.0,1122,1061,1126.0,1071.0
fdca46eb-4014-45f5-b0aa-db73ee85deb1,Imagen 3 (v002),imagen-3-v002,2024-12,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1095,1084.0,1109.0,1129,1045,1149.0,1071.0
49beed3c-4642-47be-987b-b7b184cab77d,Imagen 4 Standard,google-imagen_imagen-4-standard,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1093,1053.0,1128.0,1127,1046,1191.0,1124.0
aa524f71-2f87-4395-b1c1-83dfa20bd87c,FLUX1.1 [pro] Ultra,flux1-1-pro-ultra,2024-11,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1092,1076.0,1101.0,1121,1052,1144.0,1084.0
7f4a0972-2e00-4cd1-9c93-57e81b0791a8,Ideogram 3.0,ideogram-3-0,2025-03,a8b2ac11-1f36-44cb-9e88-383c4e0d749f,Ideogram,1086,1054.0,1082.0,1121,1047,1139.0,1109.0
be790d0b-8222-4b25-9624-f0fec79e29db,Imagen 4 Fast Preview 0606,imagen-4-fast-preview-0606,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1084,1035.0,1097.0,1131,1032,1140.0,1078.0
f1182fcf-b690-413a-9a9b-38cec96e9e09,FLUX1.1 [pro],flux1-1-pro,2024-10,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1082,1028.0,1088.0,1115,1053,1113.0,1064.0
edd29d39-9fd6-4139-8307-cdcd46f597a2,Recraft V3,recraft-v3,2024-10,02845eed-a64f-4ddd-af96-8409678c890a,Recraft,1080,945.0,991.0,1128,1051,1153.0,1070.0
3338f278-fb1f-4727-b9af-d51ae3ab7e36,FLUX.1 Kontext [pro],flux-1-kontext-pro,2025-05,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1079,1039.0,1085.0,1093,1058,1152.0,1063.0
8fe29563-6142-4cc5-b236-544ba9767c3f,FLUX.2 [klein] Base 9B,flux_flux-2-klein-base-9b,2026-01,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1075,1054.0,1029.0,1122,1039,1095.0,1095.0
95a40d42-7e24-42ac-8e86-ded5ba37c6ea,GPT Image 1 Mini (medium),openai-gpt_gpt-image-1-mini--medium,2025-10,e67e56e3-15cd-43db-b679-da4660a69f41,OpenAI,1075,1024.0,1062.0,1082,1036,1241.0,1095.0
c404f12b-b1a8-47d2-bbff-3aa5f73be475,P-Image,pruna_p-image,2025-12,a98e0396-4ef1-4a39-bb12-b004c7590bee,Pruna AI,1075,1039.0,1047.0,1136,986,1213.0,1058.0
561d9150-bc67-4212-8129-2d239f06fde8,Dreamina 3.1,dreamina-3-1,2025-08,582174aa-90d5-4a43-9c4d-64dc0af57547,Bytedance,1071,1061.0,1015.0,1117,1008,1183.0,1024.0
9d206113-8eec-4e37-9033-3699b4e2c4c1,FIBO,bria_fibo,2025-10,95c9bc82-f015-4ed4-8da0-4729f2d14f09,Bria,1070,971.0,1080.0,1116,1034,1161.0,1037.0
3094dab6-4711-48f0-b1ad-9aaae4804bde,Imagen 4 Fast,google-imagen_imagen-4-fast,2025-06,faddc6d9-2c14-445f-9b28-56726f59c793,Google,1069,1056.0,1050.0,1113,1018,1133.0,1089.0
760fd02f-ee8b-42c0-86e6-2a9d48e612ad,Midjourney v7 Alpha,midjourney-v7-alpha,2025-04,f3101bf7-753f-4c98-9df5-d57092e924fb,Midjourney,1065,1137.0,1038.0,1099,993,1208.0,996.0
c02b3b9d-2847-46b2-b410-98e29a594fa5,Qwen Image Plus 2601,qwen_qwen-image-plus-2601,2026-01,d874d370-74d3-4fa0-ba00-5272f92f946b,Alibaba,1064,1051.0,1011.0,1100,1039,1116.0,1057.0
6443510e-aedc-423b-9a16-478534b16269,FLUX.2 [klein] 4B,flux_flux-2-klein-4b,2026-01,d427ad30-eba3-4945-857a-4eb0ead82e87,Black Forest Labs,1063,1060.0,1058.0,1111,1002,1175.0,1050.0
0b6f2204-82ec-4cef-a0cc-67bf574664d5,HunyuanImage 2.1,hunyuanimage-2-1,2025-09,a4e5bd55-a6cd-4dcf-8d4a-1d9643cd3826,Tencent,1063,1104.0,1142.0,1052,1035,1142.0,1104.0
6ec6098b-3530-4de5-b2fc-24cde58933ab,SRPO,flux_srpo,2025-09,a4e5bd55-a6cd-4dcf-8d4a-1d9643cd3826,Tencent,1062,936.0,1001.0,1132,996,1147.0,1047.0
